-2.107e+08,1.3192e+08,7.9479e+06
-2.1173e+08,1.3031e+08,7.9396e+06
-2.1274e+08,1.287e+08,7.9283e+06
-2.1373e+08,1.2709e+08,7.9156e+06
-2.1471e+08,1.2547e+08,7.9037e+06
-2.1568e+08,1.2384e+08,7.8941e+06
-2.1665e+08,1.2221e+08,7.8862e+06
-2.176e+08,1.2056e+08,7.8779e+06
-2.1853e+08,1.189e+08,7.8671e+06
-2.1944e+08,1.1723e+08,7.8531e+06
-2.2034e+08,1.1556e+08,7.8369e+06
-2.2122e+08,1.1388e+08,7.8207e+06
-2.2209e+08,1.122e+08,7.8066e+06
-2.2296e+08,1.1052e+08,7.7945e+06
-2.2381e+08,1.0882e+08,7.7829e+06
-2.2464e+08,1.0711e+08,7.7695e+06
-2.2546e+08,1.0539e+08,7.753e+06
-2.2626e+08,1.0366e+08,7.7337e+06
-2.2704e+08,1.0194e+08,7.7136e+06
-2.2781e+08,1.0021e+08,7.6949e+06
-2.2857e+08,9.8479e+07,7.6785e+06
-2.2932e+08,9.6736e+07,7.6634e+06
-2.3005e+08,9.4981e+07,7.6473e+06
-2.3077e+08,9.3215e+07,7.6283e+06
-2.3146e+08,9.1445e+07,7.6063e+06
-2.3214e+08,8.9674e+07,7.5826e+06
-2.328e+08,8.7904e+07,7.5596e+06
-2.3346e+08,8.613e+07,7.5387e+06
-2.341e+08,8.4348e+07,7.5198e+06
-2.3474e+08,8.2555e+07,7.5007e+06
-2.3535e+08,8.0751e+07,7.4794e+06
-2.3594e+08,7.8941e+07,7.4549e+06
-2.3652e+08,7.713e+07,7.428e+06
-2.3707e+08,7.532e+07,7.4009e+06
-2.3762e+08,7.351e+07,7.3757e+06
-2.3816e+08,7.1694e+07,7.3527e+06
-2.3868e+08,6.9869e+07,7.3304e+06
-2.3919e+08,6.8032e+07,7.3066e+06
-2.3968e+08,6.6189e+07,7.2798e+06
-2.4015e+08,6.4343e+07,7.2501e+06
-2.406e+08,6.25e+07,7.2194e+06
-2.4103e+08,6.0658e+07,7.1898e+06
-2.4146e+08,5.8814e+07,7.1626e+06
-2.4188e+08,5.6961e+07,7.1369e+06
-2.4228e+08,5.5099e+07,7.1106e+06
-2.4266e+08,5.3228e+07,7.0815e+06
-2.4302e+08,5.1355e+07,7.0494e+06
-2.4336e+08,4.9484e+07,7.0154e+06
-2.4369e+08,4.7615e+07,6.9818e+06
-2.4401e+08,4.5747e+07,6.9503e+06
-2.4431e+08,4.3873e+07,6.9209e+06
-2.4461e+08,4.199e+07,6.8918e+06
-2.4488e+08,4.01e+07,6.8605e+06
-2.4513e+08,3.8205e+07,6.8262e+06
-2.4536e+08,3.6311e+07,6.7893e+06
-2.4558e+08,3.4421e+07,6.7521e+06
-2.4578e+08,3.2534e+07,6.7164e+06
-2.4597e+08,3.0645e+07,6.6831e+06
-2.4616e+08,2.8748e+07,6.6509e+06
-2.4632e+08,2.6843e+07,6.6175e+06
-2.4646e+08,2.4933e+07,6.5811e+06
-2.4658e+08,2.3024e+07,6.5418e+06
-2.4669e+08,2.1119e+07,6.5012e+06
-2.4678e+08,1.9218e+07,6.4616e+06
-2.4686e+08,1.7318e+07,6.4244e+06
-2.4692e+08,1.5413e+07,6.3889e+06
-2.4698e+08,1.3501e+07,6.3531e+06
-2.4701e+08,1.1583e+07,6.3147e+06
-2.4702e+08,9.6638e+06,6.2733e+06
-2.4701e+08,7.7491e+06,6.2299e+06
-2.4698e+08,5.8402e+06,6.1866e+06
-2.4695e+08,3.9346e+06,6.1454e+06
-2.469e+08,2.027e+06,6.1064e+06
-2.4684e+08,1.1346e+05,6.068e+06
-2.4676e+08,-1.806e+06,6.0278e+06
-2.4666e+08,-3.7272e+06,5.9846e+06
-2.4654e+08,-5.6451e+06,5.9387e+06
-2.464e+08,-7.5564e+06,5.8922e+06
-2.4625e+08,-9.462e+06,5.8471e+06
-2.4609e+08,-1.1367e+07,5.8045e+06
-2.4591e+08,-1.3275e+07,5.7633e+06
-2.4572e+08,-1.5189e+07,5.7211e+06
-2.4551e+08,-1.7106e+07,5.6762e+06
-2.4527e+08,-1.9021e+07,5.6283e+06
-2.4502e+08,-2.0928e+07,5.5789e+06
-2.4475e+08,-2.2828e+07,5.5303e+06
-2.4447e+08,-2.4725e+07,5.4841e+06
-2.4418e+08,-2.6622e+07,5.4398e+06
-2.4388e+08,-2.8525e+07,5.3956e+06
-2.4355e+08,-3.043e+07,5.3491e+06
-2.4321e+08,-3.2334e+07,5.2995e+06
-2.4284e+08,-3.4232e+07,5.2477e+06
-2.4246e+08,-3.6121e+07,5.196e+06
-2.4206e+08,-3.8003e+07,5.1461e+06
-2.4166e+08,-3.9884e+07,5.0987e+06
-2.4124e+08,-4.1768e+07,5.0521e+06
-2.408e+08,-4.3655e+07,5.0041e+06
-2.4035e+08,-4.5541e+07,4.9531e+06
-2.3987e+08,-4.7422e+07,4.8994e+06
-2.3937e+08,-4.9294e+07,4.8448e+06
-2.3886e+08,-5.1157e+07,4.7916e+06
-2.3834e+08,-5.3015e+07,4.7409e+06
-2.378e+08,-5.4874e+07,4.6918e+06
-2.3726e+08,-5.6736e+07,4.6422e+06
-2.3669e+08,-5.8598e+07,4.5899e+06
-2.361e+08,-6.0455e+07,4.5347e+06
-2.3548e+08,-6.2303e+07,4.4779e+06
-2.3486e+08,-6.4141e+07,4.4216e+06
-2.3422e+08,-6.5971e+07,4.3676e+06
-2.3358e+08,-6.7799e+07,4.3159e+06
-2.3292e+08,-6.9629e+07,4.2645e+06
